,avg_length,avg_num_trips,avg_online_ratio,avg_price,std_length,std_num_trips,std_online_ratio,std_price,timestamp,waiting_per_empty
0,7.438809443438464,23.65,0.174486,20244.736,0.8259281050661698,2.8829672214577813,0.004984155294530855,483.9098121592494,1000,0.048476202266581996
1,7.418468178717415,47.654,0.175962,40342.928,0.5773555117773577,4.207883553521889,0.0029751564664736536,426.7826880462702,2000,0.03538692990280723
2,7.39658996254492,71.658,0.17615066666666668,60323.626,0.47304174654012554,5.205097117249591,0.00242596363442562,447.3473036959092,3000,0.02979908237920809
3,7.387386906583722,95.672,0.17626,80308.018,0.400127697495616,5.926585526253713,0.002050158530455633,425.382441663969,4000,0.025553194406519566
4,7.3824690291392745,119.646,0.17631960000000002,100282.828,0.3737142213161202,6.874058771933799,0.0018507987032629993,440.5673596806736,5000,0.023126436892595543
5,7.384388907360124,143.662,0.17652099999999998,120406.828,0.32757038998146454,7.312711945646431,0.0015949758270547211,431.59796850309664,6000,0.02075519317061823
6,7.385455662747374,167.656,0.17665,140529.892,0.30613469249760544,7.918185650766216,0.0014893328187137885,439.0793144023071,7000,0.019382737052678144
7,7.380511284449348,191.658,0.1766055,160457.264,0.2896526339471788,8.597966968999126,0.0014045888188363182,431.0179744558224,8000,0.01832482123910587
8,7.37682436609167,215.636,0.1765737777777778,180385.962,0.2695520090030508,8.98239967937299,0.0012804759146119212,428.879233066839,9000,0.017052749248176284
9,7.3775672671051815,239.652,0.1766638,200497.67,0.2504670702417003,9.27873353427072,0.0012310440934426357,452.2278022191913,10000,0.016112791415116224
