,avg_ratio_cruising,avg_ratio_online,avg_ratio_serving,avg_ratio_to_request,avg_ratio_waiting,avg_request_completed,avg_request_last_waiting_times,avg_request_lengths,avg_timestamp,avg_trip_avg_length,avg_trip_avg_price,entropy_ratio_cruising,entropy_ratio_online,entropy_ratio_serving,entropy_ratio_to_request,entropy_ratio_waiting,std_ratio_cruising,std_ratio_online,std_ratio_serving,std_ratio_to_request,std_ratio_waiting,std_request_completed,std_request_last_waiting_times,std_request_lengths,std_timestamp,std_trip_avg_length,std_trip_avg_price,timestamp
0,0.0,0.030994400000000002,0.002036,0.0289584,0.9690056,0.0001935483870967742,0.0,0.0,1000.0,0.0,332.1128,0.0,3.511196132825795,0.5466612846201436,3.509501893980434,3.511196132825738,0.0,0.01865486447659162,0.008371589096461914,0.01979213655571323,0.018654864476591617,0.01391082046892369,0.0,0.0,0.0,0.0,1176.6377213382887,1000
1,0.0,0.015497200000000001,0.001018,0.0144792,0.9845028,9.67741935483871e-05,0.0,0.0,2000.0,0.0,332.1128,0.0,3.511196132825795,0.5466612846201436,3.509501893980434,3.5111961328258046,0.0,0.00932743223829581,0.004185794548230957,0.009896068277856615,0.009327432238295819,0.009836911522619798,0.0,0.0,0.0,0.0,1176.6377213382887,2000
2,0.0,0.010331466666666667,0.0006786666666666666,0.009652800000000001,0.9896685333333333,6.451612903225807e-05,0.0,0.0,3000.0,0.0,332.1128,0.0,3.5111961328257943,0.5466612846201412,3.5095018939804343,3.5111961328260977,0.0,0.006218288158863873,0.002790529698820638,0.00659737885190441,0.006218288158863872,0.00803193418183645,0.0,0.0,0.0,0.0,1176.6377213382887,3000
3,0.0,0.0077486000000000005,0.000509,0.0072396,0.9922514000000001,4.838709677419355e-05,0.0,0.0,4000.0,0.0,332.1128,0.0,3.511196132825795,0.5466612846201436,3.509501893980434,3.5111961328256873,0.0,0.004663716119147905,0.0020928972741154784,0.004948034138928308,0.00466371611914791,0.0069559151420254765,0.0,0.0,0.0,0.0,1176.6377213382887,4000
4,0.0,0.0061988799999999995,0.00040720000000000003,0.00579168,0.9938011200000001,3.870967741935484e-05,0.0,0.0,5000.0,0.0,332.1128,0.0,3.5111961328257943,0.5466612846201392,3.5095018939804348,3.5111961328254484,0.0,0.0037309728953183246,0.0016743178192923829,0.003958427311142646,0.003730972895318322,0.006221589747020366,0.0,0.0,0.0,0.0,1176.6377213382887,5000
5,0.0,0.005165733333333334,0.0003393333333333333,0.004826400000000001,0.9948342666666667,3.2258064516129034e-05,0.0,0.0,6000.0,0.0,332.1128,0.0,3.5111961328257943,0.5466612846201412,3.5095018939804343,3.5111961328259547,0.0,0.0031091440794319366,0.001395264849410319,0.003298689425952205,0.0031091440794319405,0.005679526734984413,0.0,0.0,0.0,0.0,1176.6377213382887,6000
6,0.0,0.004427771428571429,0.00029085714285714283,0.004136914285714286,0.9955722285714286,2.7649769585253457e-05,0.0,0.0,7000.0,0.0,332.1128,0.0,3.511196132825794,0.5466612846201415,3.509501893980441,3.511196132825443,0.0,0.0026649806395130887,0.001195941299494559,0.0028274480793876048,0.002664980639513088,0.005258232124535332,0.0,0.0,0.0,0.0,1176.6377213382887,7000
7,0.0,0.0038743000000000002,0.0002545,0.0036198,0.9961257000000001,2.4193548387096773e-05,0.0,0.0,8000.0,0.0,332.1128,0.0,3.511196132825795,0.5466612846201436,3.509501893980434,3.5111961328258827,0.0,0.0023318580595739526,0.0010464486370577392,0.002474017069464154,0.002331858059573955,0.004918634267691915,0.0,0.0,0.0,0.0,1176.6377213382887,8000
8,0.0,0.0034438222222222224,0.00022622222222222225,0.0032176,0.9965561777777777,2.150537634408602e-05,0.0,0.0,9000.0,0.0,332.1128,0.0,3.511196132825793,0.5466612846201458,3.5095018939804308,3.511196132826156,0.0,0.002072762719621291,0.0009301765662735461,0.002199126283968137,0.0020727627196212898,0.004637339092936202,0.0,0.0,0.0,0.0,1176.6377213382887,9000
9,0.0,0.0030994399999999997,0.00020360000000000002,0.00289584,0.99690056,1.935483870967742e-05,0.0,0.0,10000.0,0.0,332.1128,0.0,3.5111961328257943,0.5466612846201392,3.5095018939804348,3.5111961328256776,0.0,0.0018654864476591623,0.0008371589096461914,0.001979213655571323,0.0018654864476591627,0.004399370875465709,0.0,0.0,0.0,0.0,1176.6377213382887,10000
10,0.0,0.0028176727272727275,0.00018509090909090908,0.002632581818181818,0.9971823272727274,1.7595307917888564e-05,0.0,0.0,11000.0,0.0,332.1128,0.0,3.5111961328257917,0.5466612846201446,3.5095018939804343,3.5111961328257983,0.0,0.0016958967705992384,0.0007610535542238103,0.0017992851414284758,0.001695896770599239,0.0041946392363381895,0.0,0.0,0.0,0.0,1176.6377213382887,11000
11,0.0,0.002582866666666667,0.00016966666666666665,0.0024132000000000003,0.9974171333333334,1.6129032258064517e-05,0.0,0.0,12000.0,0.0,332.1128,0.0,3.5111961328257943,0.5466612846201412,3.5095018939804343,3.5111961328257957,0.0,0.0015545720397159683,0.0006976324247051595,0.0016493447129761025,0.0015545720397159698,0.004016064256505731,0.0,0.0,0.0,0.0,1176.6377213382887,12000
12,0.0,0.0023841846153846154,0.0001566153846153846,0.002227569230769231,0.9976158153846152,1.488833746898263e-05,0.0,0.0,13000.0,0.0,332.1128,0.0,3.511196132825793,0.5466612846201425,3.509501893980434,3.511196132825802,0.0,0.0014349895751224325,0.0006439683920355318,0.0015224720427471717,0.001434989575122433,0.0038585121233954967,0.0,0.0,0.0,0.0,1176.6377213382887,13000
