,avg_ratio_cruising,avg_ratio_online,avg_ratio_serving,avg_ratio_to_request,avg_ratio_waiting,avg_request_completed,avg_request_last_waiting_times,avg_request_lengths,avg_timestamp,entropy_ratio_cruising,entropy_ratio_online,entropy_ratio_serving,entropy_ratio_to_request,entropy_ratio_waiting,std_ratio_cruising,std_ratio_online,std_ratio_serving,std_ratio_to_request,std_ratio_waiting,std_request_completed,std_request_last_waiting_times,std_request_lengths,std_timestamp,timestamp
0,0.0,0.9971850000000001,0.356725,0.64046,0.0028150000000000002,0.19196,0.0,7.402688060012503,1000.0,0.0,1.565080447211304,3.9212637942485955,3.9811347637558616,1.5650804472113047,0.0,0.001233197064544026,0.022614362140020664,0.022644610837901383,0.001233197064544025,0.39384179361769106,0.0,4.009555821771122,0.0,1000
1,0.0,0.9983850000000001,0.35721500000000006,0.64117,0.0016150000000000003,0.1922,0.0,7.418262226847034,2000.0,0.0,1.7213190126771425,4.018393924853661,3.975651001913776,1.721319012677142,0.0,0.0007171296953829238,0.015661218822301155,0.01562725503727382,0.0007171296953829202,0.3940293897668041,0.0,4.011550635277492,0.0,2000
2,0.0,0.99877,0.357425,0.641345,0.00123,0.19282,0.0,7.403934584932407,3000.0,0.0,1.8318399396346279,4.0164115356023515,4.071500479247199,1.8318399396344087,0.0,0.0005253464465368485,0.012678369046003776,0.012607642192998127,0.0005253464465368438,0.39451292450311437,0.0,4.007883150311263,0.0,3000
3,0.0,0.9989762499999999,0.3576325,0.6413437500000001,0.0010237500000000001,0.19278,0.0,7.413035584604212,4000.0,0.0,1.89763667350713,4.100097631813353,4.024768692302621,1.8976366735071286,0.0,0.000416531436388663,0.011470993581638864,0.011407684841259421,0.0004165314363886597,0.39448177600492534,0.0,4.014043870938729,0.0,4000
4,0.0,0.9991209999999999,0.357599,0.6415219999999999,0.000879,0.192904,0.0,7.408949529299548,5000.0,0.0,1.9385724100313522,4.082256054610683,4.145701571395626,1.9385724100313522,0.0,0.0003446142771273388,0.010110459880737374,0.010070844850358883,0.0003446142771273413,0.3945783151466891,0.0,4.007113013184742,0.0,5000
5,0.0,0.9992125000000001,0.35739666666666664,0.6418158333333334,0.0007875000000000001,0.19283333333333333,0.0,7.408522039757995,6000.0,0.0,2.0004491058856755,4.157182819798363,4.12824906973691,2.000449105885139,0.0,0.000307289901124875,0.00953657520636558,0.009503119334372964,0.0003072899011248716,0.39452330588811707,0.0,4.004561786477795,0.0,6000
6,0.0,0.9992821428571429,0.3574707142857143,0.6418114285714285,0.0007178571428571429,0.1927657142857143,0.0,7.413099543487283,7000.0,0.0,2.0655199111440434,4.181977905314819,4.091868771842029,2.0655199111440434,0.0,0.00028227844843164827,0.008385395436868382,0.008354868555006036,0.00028227844843164984,0.39447064996224074,0.0,4.007909826628809,0.0,7000
7,0.0,0.999333125,0.35748125,0.6418518750000001,0.0006668750000000001,0.19285,0.0,7.410630023334198,8000.0,0.0,2.0952878996991933,4.066367032986126,4.057582040778982,2.095287899699824,0.0,0.0002562583840091916,0.007773922252473328,0.007744262770553115,0.0002562583840091871,0.39453628160157855,0.0,3.997417631843257,0.0,8000
8,0.0,0.999372222222222,0.35753166666666664,0.6418405555555556,0.0006277777777777778,0.1930911111111111,0.0,7.403401963379406,9000.0,0.0,2.1501410362374678,3.867915096485545,3.883724102633335,2.1501410362372533,0.0,0.00023979157616564178,0.007248872858317312,0.007219081175931694,0.00023979157616563598,0.3947238704727492,0.0,3.9951576067895074,0.0,9000
9,0.0,0.9994,0.35755400000000004,0.641846,0.0006,0.193112,0.0,7.4020775508513195,10000.0,0.0,2.1715965920299207,4.027965585877003,4.012919300046491,2.1715965920299203,0.0,0.00021931712199463321,0.006864742092751921,0.006834002048580323,0.0002193171219946131,0.39474011128336073,0.0,3.992571428664009,0.0,10000
