,avg_ratio_cruising,avg_ratio_online,avg_ratio_serving,avg_ratio_to_request,avg_ratio_waiting,avg_request_completed,avg_request_last_waiting_times,avg_request_lengths,avg_timestamp,entropy_ratio_cruising,entropy_ratio_online,entropy_ratio_serving,entropy_ratio_to_request,entropy_ratio_waiting,std_ratio_cruising,std_ratio_online,std_ratio_serving,std_ratio_to_request,std_ratio_waiting,std_request_completed,std_request_last_waiting_times,std_request_lengths,std_timestamp,timestamp
0,0.19581600000000002,0.404852,0.17462,0.230232,0.399332,0.9825833333333334,4.411483253588517,7.372572300907472,1000.0,4.13877592356685,4.132045513303797,4.046120455425251,4.07147774623768,4.096872177640536,0.027986606510972355,0.05475737480924373,0.02693116410406353,0.036101165853750485,0.07253585165971377,0.13081791310401222,6.135087120180739,3.9544121063207816,0.0,1000
1,0.19736,0.40710599999999997,0.175623,0.231483,0.395534,0.9910833333333333,3.94392523364486,7.366476078365425,2000.0,4.141785696941251,4.0976425857938565,4.095538317924577,4.0860031940509405,4.146812971507988,0.019284537847716235,0.04035518261636292,0.019652159448773056,0.02605876457163693,0.052550336288172315,0.09400616853282673,5.467545325121727,3.9614111680241124,0.0,2000
2,0.198468,0.407812,0.17635,0.231462,0.39372,0.9946111111111111,3.695876288659794,7.377227280344076,3000.0,4.172128370005816,4.152794189121304,4.1425766006423554,4.147100902603038,4.151845476447384,0.015476924701704219,0.03414832012136338,0.016389981696145972,0.0222092298230563,0.044002230246507575,0.07321098801021673,5.341462356734048,3.9617148959279134,0.0,3000
3,0.1988825,0.40879650000000006,0.1768285,0.231968,0.39232100000000003,0.9957083333333333,4.330097087378641,7.3926434280453615,4000.0,4.126803919471989,4.175093055740804,4.174090349987268,4.270867270380919,4.172988548720095,0.013370679442346975,0.028329899624778058,0.01365648976677389,0.018436240831579524,0.036699478320542926,0.06537008691969813,5.999819333064038,3.975880469267985,0.0,4000
4,0.19943,0.4086252,0.177134,0.23149119999999998,0.3919448,0.9965833333333334,3.9804878048780488,7.3982774479471525,5000.0,4.2277631936154805,4.158324886659521,4.060436303616406,4.187828993139725,4.158777673771852,0.012163413172296664,0.02493021790839382,0.011862163546335045,0.01649506600653662,0.03224711076918365,0.0583523183391676,5.480752107556538,3.977859164805904,0.0,5000
5,0.1992886666666667,0.40869666666666665,0.17721266666666666,0.231484,0.3920146666666667,0.9972222222222222,4.24,7.3992339832869085,6000.0,4.185008918075316,4.171647018438012,4.162448093234209,4.150716533775747,4.201460016985087,0.011128182660854078,0.023017003135363506,0.010818913254111986,0.015223770506824007,0.029722328052978773,0.0526313758930456,5.870468465122694,3.979653961435933,0.0,6000
6,0.19942657142857143,0.40866257142857143,0.17710800000000002,0.23155457142857142,0.3919108571428571,0.9976190476190476,3.58,7.392935560859189,7000.0,4.146416393308447,4.2060999877625775,4.156735866835513,4.262745092616358,4.233633416761855,0.010251492478698715,0.02102067347607481,0.009901198096952814,0.013786538891695947,0.027326053436384903,0.04873687973918742,5.701192857639531,3.9802876718274445,0.0,7000
7,0.199608,0.40878775,0.17719125,0.23159649999999998,0.39160425000000004,0.9978229166666667,4.330143540669856,7.394838763558163,8000.0,4.081348385831218,4.17508433349972,4.1372281314672135,4.141167288948725,4.1839802242839745,0.009754759658751208,0.019547333096550535,0.009447513809860243,0.012537192179670854,0.025638266823003072,0.04660840741210812,5.68058057536164,3.990748360050525,0.0,8000
8,0.199726,0.4091171111111111,0.177306,0.2318111111111111,0.3911568888888889,0.9980277777777777,4.460093896713615,7.397988625715532,9000.0,4.155480808711168,4.1118180073433335,4.037399527041286,4.129346643079783,4.148100063935287,0.009001539541848206,0.017972847519261304,0.00868093802464079,0.011583416200076623,0.02330794339667737,0.04436589412745331,5.351894402929078,3.989529427172532,0.0,9000
9,0.1997054,0.4088546,0.17721979999999998,0.23163479999999997,0.39144,0.998325,3.985074626865672,7.393450696583444,10000.0,4.1605187806837085,4.110095209205973,4.063664323090854,4.197855863125978,4.131147971283697,0.008559401313176056,0.01732696046166205,0.008162993811096515,0.01127401565370565,0.02232202051786531,0.0408924733294527,5.537279907637446,3.9840914599541564,0.0,10000
