,avg_dropped_coords,avg_ratio_cruising,avg_ratio_online,avg_ratio_serving,avg_ratio_to_request,avg_ratio_waiting,avg_request_completed,avg_request_last_waiting_times,avg_request_lengths,avg_timestamp,avg_trip_avg_length,avg_trip_avg_price,std_dropped_coords,std_ratio_cruising,std_ratio_online,std_ratio_serving,std_ratio_to_request,std_ratio_waiting,std_request_completed,std_request_last_waiting_times,std_request_lengths,std_timestamp,std_trip_avg_length,std_trip_avg_price,timestamp
0,,0.06969022687609075,0.737395287958115,0.5488438045375219,0.18855148342059336,0.19291448516579407,0.9768364270982072,,10.109712522332305,573.0,10.166567975945789,38466.27,,0.017895579652231573,0.13533352606629165,0.10438298856268234,0.035985149702194213,0.14074730832045848,0.1504228100795093,,5.418514887676825,0.0,1.1583706267739458,7344.7756842602075,573
1,,0.0681980802792321,0.737434554973822,0.5529864746945898,0.1844480802792321,0.1943673647469459,0.9886561954624782,,10.122081360828052,1146.0,10.157458125703057,77168.835,,0.013165742911989147,0.10585262675525099,0.082252086024716,0.026810068747457023,0.1115997511496231,0.10590147608100801,,5.431414275251618,0.0,0.8169561458726904,11559.78817270347,1146
2,,0.06873182082606166,0.735388307155323,0.5530991855730076,0.1822891215823153,0.19587987201861548,0.9927547728594849,,10.100495418708714,1719.0,10.121863334539269,115589.1775,,0.011199806500488262,0.08982220565306342,0.06984371783452105,0.022820229431810442,0.09474887605042759,0.08480998658293397,,5.418255810277167,0.0,0.641707027607193,14724.163876804474,1719
3,,0.06908704188481676,0.7361332897033158,0.5542702879581151,0.1818630017452007,0.19477966841186733,0.9940901158178646,,10.11313490005187,2292.0,10.1262751875578,154311.905,,0.009844944434325223,0.07607430633929102,0.05935345108848219,0.019201278225432505,0.0801574330406762,0.07664827102478722,,5.411214236754599,0.0,0.5533948593919359,16697.854769579684,2292
4,,0.06860558464223386,0.7360296684118675,0.5544537521815008,0.18157591623036648,0.19536474694589878,0.9951768998889418,,10.106813761438637,2865.0,10.11940168843236,192872.76,,0.008995570763674637,0.06908560254386553,0.053760351479015596,0.0173849278926261,0.07348488841078764,0.06928086183338755,,5.413637386650753,0.0,0.4839139190035498,18870.49428479286,2865
5,,0.06896015125072716,0.7369073589296103,0.5553832169866202,0.1815241419429901,0.19413248981966258,0.9957692104288963,,10.121116363056986,3438.0,10.132454623217741,231749.6075,,0.008047069002360538,0.061610239875556146,0.047444087308383495,0.01602434077455345,0.06513355831837232,0.06490677923536761,,5.4324525213703865,0.0,0.43481582561088694,19975.17445276621,3438
6,,0.06913113936674146,0.7362658937920719,0.5549950137122912,0.1812708800797806,0.19460296684118675,0.9964869336597085,,10.11019878997407,4011.0,10.12088101703079,270106.0825,,0.0074897658805742305,0.05772484464359046,0.04442435909407816,0.015016192176121285,0.061059636601459535,0.0591669223906414,,5.426333560692666,0.0,0.4028223133600104,21818.61148814685,4011
7,,0.06893051919720769,0.7364125218150087,0.5549427356020942,0.18146978621291449,0.19465695898778357,0.9970946374742187,,10.105474615881855,4584.0,10.114009435162476,308598.0475,,0.006857089153766591,0.05285576682006708,0.04076689769770046,0.013693913993693603,0.055930331297058565,0.05382305634553986,,5.417077635600985,0.0,0.37329659828574735,22887.642578807536,4584
8,,0.06885107620709716,0.7361149893348846,0.5550082412255187,0.1811067481093659,0.19503393445801823,0.9973733848079398,,10.106057124677436,5157.0,10.113176451187048,347189.12,,0.006334683443245015,0.051307201748048585,0.0397249756980898,0.013160408867486793,0.053945111937505695,0.05118316212088754,,5.413660371919573,0.0,0.3556090917291493,25125.36180705862,5157
9,,0.06884816753926701,0.7355161431064573,0.5548695462478185,0.18064659685863874,0.19563568935427575,0.9976598445184832,,10.10124438436767,5730.0,10.107327556503723,385649.2525,,0.006092225427346117,0.04824981905121642,0.03737607578454178,0.012352814798585672,0.05087624850902822,0.04831851771152614,,5.412366701964455,0.0,0.3375218182685536,26260.494340239366,5730
10,,0.06881643661748374,0.7355917816912582,0.5549194827859749,0.18067229890528316,0.19559178169125815,0.9979158553646893,,10.101729333632035,6303.0,10.106907761340187,424209.645,,0.0058565313283624465,0.04633801964208428,0.0359317069623813,0.011803170375892215,0.048778242958507835,0.04560483501176001,,5.410346681986387,0.0,0.32257919098852084,27780.437283077004,6303
11,,0.06891324898196625,0.7353643106457242,0.5551050756253636,0.18025923502036065,0.1957224403723095,0.9980300386059549,,10.104322598593136,6876.0,10.109369471625335,462923.5875,,0.005554659361830941,0.0444217484170167,0.03448660206418101,0.01129421017114637,0.046684861090200064,0.04434050796000352,,5.410272279123235,0.0,0.31394502671405056,29101.452575985684,6876
12,,0.06908410524902671,0.7353520606792858,0.555393005772587,0.17995905490669892,0.19556383407168745,0.9982364930008909,,10.107861775547256,7449.0,10.1129076333179,501747.965,,0.005298064370845205,0.04229995984457847,0.03275843692962047,0.010808253607690554,0.04444821685632431,0.041957085720688306,,5.41013703981848,0.0,0.294598084604372,29936.306156968916,7449
13,,0.06926545749189728,0.7353970331588132,0.5556432311144354,0.17975380204437796,0.19533750934928945,0.9982774642460507,,10.111993415824724,8022.0,10.116182562049879,540566.7675,,0.005196804587080038,0.041217548548352814,0.03203455884152376,0.010429106958112605,0.04326839980979738,0.04146768168737833,,5.415144470381425,0.0,0.28526324061753866,31546.83150672098,8022
