,avg_dropped_coords,avg_ratio_cruising,avg_ratio_online,avg_ratio_serving,avg_ratio_to_request,avg_ratio_waiting,avg_request_completed,avg_request_last_waiting_times,avg_request_lengths,avg_timestamp,avg_trip_avg_length,avg_trip_avg_price,entropy_ratio_cruising,entropy_ratio_online,entropy_ratio_serving,entropy_ratio_to_request,entropy_ratio_waiting,std_dropped_coords,std_ratio_cruising,std_ratio_online,std_ratio_serving,std_ratio_to_request,std_ratio_waiting,std_request_completed,std_request_last_waiting_times,std_request_lengths,std_timestamp,std_trip_avg_length,std_trip_avg_price,timestamp
0,,6.750000000000001e-05,0.9929275,0.47269999999999995,0.5202275000000001,0.007005,0.52553125,50.0,11.17089849556996,1000.0,11.218804359279392,53719.065,0.1879255221897442,2.610433135352057,4.387010388824178,4.338934372364303,2.6130367167733155,,0.0003780790261307813,0.0036799787703192016,0.02236190957856685,0.022091531041328948,0.003738980476012144,0.49934772981704595,28.577380332470412,6.0403040569214195,0.0,0.923976529735313,3123.857067116708,1000
1,,3.375000000000001e-05,0.9964,0.47636,0.5200400000000001,0.0035662500000000004,0.52953125,50.0,11.208940690469165,2000.0,11.235207530471044,107923.5225,0.1879255221897442,2.61961239038485,4.583988068981361,4.596994968019032,2.6209257245769613,,0.00018903951306539066,0.0018543866910652712,0.015291677475018878,0.015108305662780333,0.0018828133039417371,0.49912714339478426,28.577380332470412,6.048645846981032,0.0,0.6663262552556733,4274.2949844967125,2000
2,,2.2499999999999998e-05,0.9975458333333332,0.4766858333333333,0.52086,0.0024316666666666666,0.5296770833333333,50.0,11.227005447501426,3000.0,11.246151788881502,161752.885,0.18792552218973516,2.632419419484817,4.718910674290658,4.763027176511771,2.6356841853349042,,0.00012602634204359378,0.0012376543113666446,0.012198926153787289,0.012116923885394523,0.00125666998231216,0.49911849367141914,28.577380332470412,6.057270701478513,0.0,0.5591660819914197,5118.272252115454,3000
3,,1.6875000000000004e-05,0.998125,0.47707750000000004,0.5210475,0.001858125,0.5298828125,50.0,11.236328787320309,4000.0,11.249521149076049,215710.0225,0.1879255221897442,2.642607967931966,4.868032534646048,4.875728731233795,2.6464118432035697,,9.451975653269533e-05,0.0009322352170992066,0.010258544913875458,0.010248822798253466,0.0009467194591720401,0.49910621867202754,28.577380332470412,6.047375179896559,0.0,0.46233848449386117,5742.233236467651,4000
4,,1.3500000000000001e-05,0.998476,0.47745599999999994,0.52102,0.0015105,0.52985625,50.0,11.249065194569281,5000.0,11.259969300118613,269767.3825,0.1879255221897389,2.648403444361509,4.911343348351106,4.946464373539978,2.6525152368977087,,7.561580522615627e-05,0.0007482138731672926,0.009351153083978467,0.009345244780100733,0.0007595325865293733,0.49910780832996143,28.577380332470412,6.047983529565622,0.0,0.41970529702111126,6543.649181549524,5000
5,,1.1249999999999999e-05,0.9987095833333334,0.4775954166666667,0.5211141666666667,0.0012791666666666665,0.5298229166666667,50.0,11.253209602264908,6000.0,11.262120183240581,323729.925,0.18792552218973516,2.6532865701683535,4.975067503374814,4.983464376033364,2.6579733020006073,,6.301317102179689e-05,0.0006289584368444234,0.008527520389483427,0.008534620304969634,0.0006382348705609871,0.49910980118756754,28.577380332470412,6.050466241881254,0.0,0.3788960676083501,7162.057387676742,6000
6,,9.642857142857144e-06,0.9988735714285714,0.47725214285714285,0.5216214285714286,0.0011167857142857143,0.5300803571428572,50.0,11.242828749010426,7000.0,11.250370439823701,377258.7275,0.18792552218973557,2.66257351903663,5.024645321623615,5.023397737106555,2.667934793113139,,5.401128944725447e-05,0.0005430784323405512,0.007803040714218727,0.007809841384367519,0.0005508656221561382,0.4990943519157056,28.577380332470412,6.054714341364681,0.0,0.3466790242266841,7646.087330997714,7000
7,,8.437500000000002e-06,0.9989984375000001,0.47768125,0.5213171875,0.000993125,0.53009765625,50.0,11.253999484175234,8000.0,11.260654549906157,431556.285,0.1879255221897442,2.6645693551254688,5.068726857091686,5.11652595555617,2.6713804126384,,4.7259878266347665e-05,0.00047495630966831894,0.007290289453272757,0.007305021382743774,0.0004820524964928612,0.49909330899968696,28.577380332470412,6.0621201734102845,0.0,0.3252942445886051,8165.466383114623,8000
8,,7.5e-06,0.9990925,0.47772222222222227,0.5213702777777778,0.0009,0.5298784722222222,50.0,11.260548474820615,9000.0,11.26646456031042,485485.3,0.18792552218974012,2.681086154477376,5.178646622807307,5.079598749214923,2.6875894860214045,,4.200878068119792e-05,0.0004226524671934282,0.007057025218764036,0.007073565765502493,0.0004291104781628337,0.4991064785170254,28.577380332470412,6.067349865742076,0.0,0.31000928694807595,8892.755907759978,9000
9,,6.750000000000001e-06,0.9991724999999999,0.4779232500000001,0.52124925,0.00082075,0.529759375,50.0,11.269986963420893,10000.0,11.275149242473868,539649.2475,0.1879255221897389,2.688359924409846,5.152536197606928,5.129757220319343,2.6958330289987,,3.780790261307814e-05,0.00038130532385478194,0.006530178744682261,0.0065361111861335424,0.000387226597097875,0.49911359388380633,28.577380332470412,6.064223703105467,0.0,0.28913690552012467,9142.039802540992,10000
