,avg_length,avg_num_trips,avg_online_ratio,avg_price,std_length,std_num_trips,std_online_ratio,std_price,timestamp,waiting_per_empty
0,7.431762457535904,23.692,0.174498,174.498,0.845964619337923,2.5762639616312613,0.003226452541104546,3.226452541104549,1000,0.039517155137091114
1,7.402856828872006,47.654,0.175582,351.164,0.6073187128750932,3.867594084182051,0.0016153253542243449,3.2306507084486866,2000,0.030236285685556842
2,7.362332585473831,71.656,0.175308,525.924,0.48827042599359466,4.767983221446989,0.0010399905982481025,3.1199717947443046,3000,0.025978773966086628
3,7.355565757425074,95.638,0.17551999999999998,702.08,0.41404095563159465,5.376518948167113,0.0008024026420694295,3.209610568277716,4000,0.021890805498420804
4,7.370124180080334,119.66,0.1760536,880.268,0.3838494232002241,6.180970797536582,0.0006252095968553271,3.1260479842766333,5000,0.019757162257039575
5,7.3729383758980855,143.658,0.17625233333333332,1057.514,0.3511540943229443,6.789185223574328,0.0005065625989615373,3.03937559376922,6000,0.017869917719260667
6,7.366736526462339,167.666,0.1761857142857143,1233.3,0.3274599996831597,7.417711506927186,0.0004247928666913299,2.9735500668392993,7000,0.016839714928574404
7,7.365249029717386,191.652,0.17625225,1410.018,0.3047925766783967,7.890430659983015,0.0004144589093022377,3.3156712744178973,8000,0.015646500824384218
8,7.368563221902771,215.652,0.17638177777777775,1587.436,0.28544939057201585,8.277855761004778,0.00035496311754154846,3.1946680578739315,9000,0.014693162535637136
9,7.36722041639596,239.646,0.176398,1763.98,0.27188083042516575,8.775003361822717,0.0003250169226363465,3.2501692263634525,10000,0.013707663757242347
