,avg_ratio_cruising,avg_ratio_online,avg_ratio_serving,avg_ratio_to_request,avg_ratio_waiting,avg_request_completed,avg_request_last_waiting_times,avg_request_lengths,avg_timestamp,avg_trip_avg_length,avg_trip_avg_price,entropy_ratio_cruising,entropy_ratio_online,entropy_ratio_serving,entropy_ratio_to_request,entropy_ratio_waiting,std_ratio_cruising,std_ratio_online,std_ratio_serving,std_ratio_to_request,std_ratio_waiting,std_request_completed,std_request_last_waiting_times,std_request_lengths,std_timestamp,std_trip_avg_length,std_trip_avg_price,timestamp
0,0.0,0.02043,0.00043,0.02,0.9795699999999999,0.0,0.0,,1000.0,0.0,244.61,0.0,2.50974518548932,0.15021132514278301,2.487265813375793,2.5097451854893125,0.0,0.007164851708165355,0.0031678225960429032,0.007002856560004639,0.007164851708165361,0.0,0.0,,0.0,0.0,427.69454976653606,1000
1,0.0,0.010215,0.000215,0.01,0.9897849999999999,0.0,0.0,,2000.0,0.0,244.61,0.0,2.50974518548932,0.15021132514278301,2.487265813375793,2.509745185489312,0.0,0.0035824258540826776,0.0015839112980214516,0.0035014282800023195,0.00358242585408268,0.0,0.0,,0.0,0.0,427.69454976653606,2000
2,0.0,0.006809999999999999,0.00014333333333333334,0.006666666666666667,0.9931899999999999,0.0,0.0,,3000.0,0.0,244.61,0.0,2.5097451854893156,0.15021132514278548,2.4872658133757866,2.509745185489312,0.0,0.0023882839027217846,0.0010559408653476343,0.002334285520001546,0.00238828390272179,0.0,0.0,,0.0,0.0,427.69454976653606,3000
3,0.0,0.0051075,0.0001075,0.005,0.9948925,0.0,0.0,,4000.0,0.0,244.61,0.0,2.50974518548932,0.15021132514278301,2.487265813375793,2.5097451854898725,0.0,0.0017912129270413388,0.0007919556490107258,0.0017507141400011598,0.0017912129270413388,0.0,0.0,,0.0,0.0,427.69454976653606,4000
4,0.0,0.004086,8.6e-05,0.004,0.995914,0.0,0.0,,5000.0,0.0,244.61,0.0,2.5097451854892965,0.15021132514278424,2.4872658133757763,2.5097451854901007,0.0,0.001432970341633071,0.0006335645192085806,0.0014005713120009277,0.0014329703416330706,0.0,0.0,,0.0,0.0,427.69454976653606,5000
5,0.0,0.0034049999999999996,7.166666666666667e-05,0.0033333333333333335,0.9965950000000001,0.0,0.0,,6000.0,0.0,244.61,0.0,2.5097451854893156,0.15021132514278548,2.4872658133757866,2.5097451854893125,0.0,0.0011941419513608923,0.0005279704326738171,0.001167142760000773,0.0011941419513608917,0.0,0.0,,0.0,0.0,427.69454976653606,6000
6,0.0,0.0029185714285714284,6.142857142857142e-05,0.002857142857142857,0.9970814285714286,0.0,0.0,,7000.0,0.0,244.61,0.0,2.509745185489309,0.15021132514278246,2.487265813375801,2.5097451854894017,0.0,0.001023550244023622,0.0004525460851489862,0.0010004080800006627,0.0010235502440236208,0.0,0.0,,0.0,0.0,427.69454976653606,7000
7,0.0,0.00255375,5.375e-05,0.0025,0.9974462499999999,0.0,0.0,,8000.0,0.0,244.61,0.0,2.50974518548932,0.15021132514278301,2.487265813375793,2.509745185489167,0.0,0.0008956064635206694,0.0003959778245053629,0.0008753570700005799,0.0008956064635206746,0.0,0.0,,0.0,0.0,427.69454976653606,8000
8,0.0,0.00227,4.7777777777777784e-05,0.0022222222222222222,0.99773,0.0,0.0,,9000.0,0.0,244.61,0.0,2.509745185489306,0.1502113251427815,2.487265813375802,2.5097451854893125,0.0,0.000796094634240595,0.00035198028844921157,0.0007780951733338487,0.0007960946342405878,0.0,0.0,,0.0,0.0,427.69454976653606,9000
9,0.0,0.002043,4.3e-05,0.002,0.997957,0.0,0.0,,10000.0,0.0,244.61,0.0,2.5097451854892965,0.15021132514278424,2.4872658133757763,2.5097451854893125,0.0,0.0007164851708165355,0.0003167822596042903,0.0007002856560004638,0.0007164851708165419,0.0,0.0,,0.0,0.0,427.69454976653606,10000
