,avg_ratio_cruising,avg_ratio_online,avg_ratio_serving,avg_ratio_to_request,avg_ratio_waiting,avg_request_completed,avg_request_last_waiting_times,avg_request_lengths,avg_timestamp,avg_trip_avg_length,avg_trip_avg_price,entropy_ratio_cruising,entropy_ratio_online,entropy_ratio_serving,entropy_ratio_to_request,entropy_ratio_waiting,std_ratio_cruising,std_ratio_online,std_ratio_serving,std_ratio_to_request,std_ratio_waiting,std_request_completed,std_request_last_waiting_times,std_request_lengths,std_timestamp,std_trip_avg_length,std_trip_avg_price,timestamp
0,1.25e-06,0.9889087499999999,0.56991625,0.41899250000000005,0.01109,0.8536,0.0,10.609676663542643,1000.0,10.647654411635026,67382.445,0.009604983083859393,3.0650543517326163,4.35000192932861,4.324337348214132,3.0650543517326136,3.533323506275641e-05,0.00594898507625461,0.020479605365765697,0.020224303294551334,0.005948478797137971,0.3535067750411582,0.0,5.604165264477261,0.0,0.8194345838420398,2853.655975143991,1000
1,6.25e-07,0.9943525,0.5744281250000001,0.419924375,0.005646875,0.86188,0.0,10.630505406785167,2000.0,10.648557309657544,135436.69375,0.009604983083859393,3.065487691887186,4.669528585755545,4.660410798257723,3.0653386991600677,1.7666617531378206e-05,0.002964918843745984,0.014704256067015935,0.01452920226163071,0.0029646863635762553,0.345025891202385,0.0,5.62629612567221,0.0,0.5731213185603554,4105.622845557168,2000
2,4.1666666666666667e-07,0.9961820833333335,0.5760079166666666,0.4201741666666666,0.0038174999999999997,0.8645866666666666,0.0,10.637152242304609,3000.0,10.64865929784767,203522.2075,0.009604983083859778,3.075393220811165,4.827446599602402,4.841121509688864,3.07551678440794,1.1777745020918809e-05,0.001979909115127933,0.01197820096832158,0.011876316272078833,0.001979765523433969,0.3421645254682152,0.0,5.63315664932803,0.0,0.45848206902912103,5021.120909910829,3000
3,3.125e-07,0.9970946875,0.5768453125,0.420249375,0.0029049999999999996,0.86601,0.0,10.640090761076662,4000.0,10.64918870365431,271634.435,0.009604983083859393,3.087753188677114,4.97454936121216,4.982327411348153,3.087934236199258,8.833308765689103e-06,0.001493743168132915,0.010409170831643787,0.010335837211342631,0.001493644870777522,0.3406415710097639,0.0,5.636769847650741,0.0,0.4054857762034555,5820.2925064617675,4000
4,2.5e-07,0.9976322500000001,0.57716425,0.42046800000000006,0.0023675,0.866468,0.0,10.643292077722432,5000.0,10.65034412815596,339618.8625,0.009604983083860276,3.093850132048792,5.0725604187325635,5.052609378200808,3.093946338633941,7.066647012551286e-06,0.0011970003916039454,0.00913146055883176,0.009068052492128616,0.0011969309712761217,0.34014879828686734,0.0,5.637425341244385,0.0,0.3557012423498879,6383.299815815778,5000
5,2.0833333333333333e-07,0.997996875,0.5773335416666666,0.42066333333333333,0.0020029166666666667,0.8669333333333333,0.0,10.644482466933251,6000.0,10.650581238943664,407566.4025,0.009604983083859778,3.1156471784117694,5.132794892943986,5.1306516291124105,3.1157121317418666,5.8888725104594045e-06,0.0010041012902300593,0.008350338896046043,0.008306506151472137,0.0010040500450951416,0.3396467707617561,0.0,5.637743701032071,0.0,0.3288565782702281,7006.614415714179,6000
6,1.7857142857142858e-07,0.9982525,0.5775632142857142,0.4206892857142857,0.0017473214285714286,0.8671314285714286,0.0,10.646644436829481,7000.0,10.651997419917542,475620.95625,0.009604983083860659,3.1236951352402182,5.24176985281738,5.201598490249344,3.123793876468458,5.0476050089652035e-06,0.000863824478462979,0.007904957361862058,0.007863542036979705,0.0008637870277659504,0.3394326356659036,0.0,5.641047120348009,0.0,0.30946058538462307,7739.211037588776,7000
7,1.5625e-07,0.9984474999999999,0.5777865624999999,0.4206609375,0.00155234375,0.867455,0.0,10.64890397772795,8000.0,10.653542290556816,543732.39375,0.009604983083859393,3.1250610747444867,5.257180400223979,5.254066085076914,3.124962333516879,4.4166543828445515e-06,0.0007544513735158802,0.007432397875759459,0.007394518497413726,0.0007544233977588034,0.33908232477526756,0.0,5.641493291137564,0.0,0.28831987043472007,8316.75643692966,8000
8,1.388888888888889e-07,0.9986009722222222,0.5779563888888889,0.4206445833333333,0.001398888888888889,0.8676155555555556,0.0,10.651015426699486,9000.0,10.655062696181808,611838.72,0.009604983083861264,3.138107374993854,5.324356895433864,5.33687217908896,3.1379509128624097,3.9259150069729355e-06,0.0006755123655555983,0.006992551984517014,0.0069640472201453075,0.0006754915905389858,0.33890825205884295,0.0,5.639261104634466,0.0,0.27005517475693847,8803.835631081489,9000
9,1.25e-07,0.9987213749999999,0.57796175,0.420759625,0.0012785,0.86791,0.0,10.648216981023378,10000.0,10.651830771868235,679762.655,0.009604983083860276,3.148825839905501,5.355825401154784,5.340811739284985,3.148764095821189,3.533323506275643e-06,0.0006101480225117534,0.00664223132219136,0.006617041057706608,0.0006101333870556503,0.3385885879648043,0.0,5.635982346272798,0.0,0.25535282435055917,9292.571102416972,10000
